2024-05-30 12:20:47 [main] INFO  com.lnt.ptd.redisToDB.Main - Starting the program
2024-05-30 12:31:32 [pool-5-thread-1] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_analog_data in 44 milliseconds at 2024-05-30T12:31:32.084405400
2024-05-30 12:31:32 [pool-4-thread-1] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_analog_data in 28 milliseconds at 2024-05-30T12:31:32.099402600
2024-05-30 12:31:32 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 26 milliseconds at 2024-05-30T12:31:32.099402600
2024-05-30 12:31:32 [pool-4-thread-1] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_analog_data in 15 milliseconds at 2024-05-30T12:31:32.161927200
2024-05-30 12:31:32 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 16 milliseconds at 2024-05-30T12:31:32.162929500
2024-05-30 12:31:32 [pool-5-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 63 milliseconds at 2024-05-30T12:31:32.177925300
2024-05-30 12:31:32 [pool-5-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 13 milliseconds at 2024-05-30T12:31:32.220929
2024-05-30 12:31:32 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 15 milliseconds at 2024-05-30T12:31:32.220929
2024-05-30 12:31:32 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 20 milliseconds at 2024-05-30T12:31:32.272453500
2024-05-30 12:31:33 [pool-4-thread-1] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_analog_data in 16 milliseconds at 2024-05-30T12:31:33.391225200
2024-05-30 12:31:33 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 37 milliseconds at 2024-05-30T12:31:33.411217800
2024-05-30 12:31:33 [pool-5-thread-1] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_analog_data in 52 milliseconds at 2024-05-30T12:31:33.434215600
2024-05-30 12:31:33 [pool-5-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 63 milliseconds at 2024-05-30T12:31:33.451218800
2024-05-30 12:31:33 [pool-4-thread-1] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_analog_data in 61 milliseconds at 2024-05-30T12:31:33.474732500
2024-05-30 12:31:33 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 44 milliseconds at 2024-05-30T12:31:33.475735600
2024-05-30 12:31:33 [pool-5-thread-1] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_analog_data in 61 milliseconds at 2024-05-30T12:31:33.513735500
2024-05-30 12:31:33 [pool-5-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 43 milliseconds at 2024-05-30T12:31:33.514733900
2024-05-30 12:31:33 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 45 milliseconds at 2024-05-30T12:31:33.553766900
2024-05-30 12:31:33 [pool-5-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 26 milliseconds at 2024-05-30T12:31:33.574688900
2024-05-30 12:31:33 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 27 milliseconds at 2024-05-30T12:31:33.597466700
2024-05-30 12:31:33 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 12 milliseconds at 2024-05-30T12:31:33.628120800
2024-05-30 12:31:33 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 10 milliseconds at 2024-05-30T12:31:33.660648700
2024-05-30 12:31:34 [pool-4-thread-1] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_analog_data in 13 milliseconds at 2024-05-30T12:31:34.707925300
2024-05-30 12:31:34 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 31 milliseconds at 2024-05-30T12:31:34.725515800
2024-05-30 12:31:34 [pool-5-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 44 milliseconds at 2024-05-30T12:31:34.751408900
2024-05-30 12:31:34 [pool-5-thread-1] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_analog_data in 45 milliseconds at 2024-05-30T12:31:34.772030900
2024-05-30 12:31:34 [pool-4-thread-1] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_analog_data in 45 milliseconds at 2024-05-30T12:31:34.772030900
2024-05-30 12:31:34 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 60 milliseconds at 2024-05-30T12:31:34.804316
2024-05-30 12:31:34 [pool-5-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 41 milliseconds at 2024-05-30T12:31:34.830694800
2024-05-30 12:31:34 [pool-4-thread-1] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_analog_data in 25 milliseconds at 2024-05-30T12:31:34.831708100
2024-05-30 12:31:34 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 29 milliseconds at 2024-05-30T12:31:34.850706700
2024-05-30 12:31:34 [pool-5-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 25 milliseconds at 2024-05-30T12:31:34.891480200
2024-05-30 12:31:34 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 27 milliseconds at 2024-05-30T12:31:34.909968900
2024-05-30 12:31:34 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 16 milliseconds at 2024-05-30T12:31:34.945425300
2024-05-30 12:31:34 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 12 milliseconds at 2024-05-30T12:31:34.980975
